rank,actor_name,lifetime_gross,num_films,per_movie
1,"Robert Downey, Jr.",8896464476,43,206894523
2,Scarlett Johansson,8759616798,29,302055752
3,Samuel L. Jackson,8583279192,63,136242527
4,Chris Hemsworth,7243473753,24,301811406
5,Chris Evans,7086962031,24,295290085
6,Zoe Saldana,6965461850,28,248766495
7,Chris Pratt,6744920221,17,396760013
8,Johnny Depp,6630385597,52,127507415
9,Vin Diesel,6486331276,24,270263803
10,Mark Ruffalo,6469199652,22,294054530
11,Emma Watson,6254106241,15,416940416
12,Bradley Cooper,6119190140,27,226636672
13,Tom Cruise,6077142224,42,144693862
14,Dwayne Johnson,6016661725,30,200555391
15,Don Cheadle,5764023378,19,303369651
16,Daniel Radcliffe,5721421692,22,260064622
17,Jeremy Renner,5675869078,17,333874652
18,Tom Hanks,5619530279,51,110186868
19,Rupert Grint,5349653110,13,411511778
20,Tom Holland,5099718437,15,339981229
21,Will Smith,5052574670,33,153108323
22,Elizabeth Olsen,5024689031,14,358906359
23,Karen Gillan,4940800449,12,411733371
24,Chadwick Boseman,4825468189,10,482546819
25,Benedict Cumberbatch,4754172267,14,339583733
26,Sebastian Stan,4717608035,10,471760804
27,Josh Brolin,4626491375,20,231324569
28,Leonardo DiCaprio,4569054016,26,175732847
29,Tom Hiddleston,4558401273,12,379866773
30,Paul Bettany,4524609517,14,323186394
31,Dave Bautista,4449998683,19,234210457
32,Brad Pitt,4110960404,41,100267327
33,Liam Neeson,4015793411,53,75769687
34,Letitia Wright,3955826549,7,565118078
35,Danai Gurira,3955825431,3,1318608477
36,Hugh Jackman,3844664741,32,120145773
37,Ian McKellen,3807519531,17,223971737
38,Matt Damon,3789876536,42,90235156
39,Pom Klementieff,3788522171,4,947130543
40,Benedict Wong,3781076532,5,756215306
41,Harrison Ford,3720607755,41,90746531
42,Bruce Willis,3709310984,64,57957984
43,Gwyneth Paltrow,3688571579,19,194135346
44,Ben Stiller,3580674498,34,105313956
45,Josh Gad,3573557920,17,210209289
46,Steve Carell,3458567854,27,128095106
47,Jennifer Lawrence,3402983254,21,162046822
48,Cameron Diaz,3361548019,28,120055286
49,Jason Statham,3348459936,32,104639373
50,Ewan McGregor,3333688639,31,107538343
51,Ralph Fiennes,3192769081,24,133032045
52,Eddie Murphy,3167717599,42,75421848
53,Idris Elba,3144294439,24,131012268
54,Orlando Bloom,3076882739,19,161941197
55,Brie Larson,3070082452,11,279098405
56,Nicolas Cage,3046686825,82,37154717
57,Jack Black,3005953595,25,120238144
58,Simon Pegg,2962923377,25,118516935
59,Paul Rudd,2948889275,29,101685837
60,Geoffrey Rush,2895855099,14,206846793
61,Anthony Mackie,2891049513,19,152160501
62,Sam Worthington,2868908249,22,130404920
63,Julia Roberts,2854099918,33,86487876
64,Martin Freeman,2830224007,11,257293092
65,Daniel Craig,2776523923,14,198323137
66,Jon Favreau,2748744129,6,458124022
67,Arnold Schwarzenegger,2721251098,33,82462154
68,Natalie Portman,2720510830,31,87758414
69,Sandra Bullock,2704761301,32,84523791
70,Evangeline Lilly,2684579770,5,536915954
71,Sylvester Stallone,2676269026,49,54617735
72,Keegan-Michael Key,2668951799,12,222412650
73,Keira Knightley,2666707596,26,102565677
74,John Boyega,2648592449,9,294288050
75,Daisy Ridley,2646192094,7,378027442
76,Paul Walker,2640989594,14,188642114
77,Christian Bale,2635285955,33,79857150
78,Ben Affleck,2589634070,41,63161807
79,Shia LaBeouf,2531608303,27,93763270
80,Ryan Reynolds,2527276695,35,72207906
81,Adam Driver,2506968310,14,179069165
82,Jim Carrey,2493817682,29,85993713
83,George Clooney,2477887751,32,77433992
84,Morgan Freeman,2473195181,41,60321834
85,Owen Wilson,2436228168,33,73825096
86,John Leguizamo,2419120209,16,151195013
87,Keanu Reeves,2414867871,47,51380167
88,Denis Leary,2402562719,9,266951413
89,Ray Romano,2399958929,8,299994866
90,Robert De Niro,2372647659,71,33417573
91,Mel Gibson,2369222882,46,51504845
92,Adam Sandler,2367144007,37,63976865
93,Colin Firth,2366683026,29,81609760
94,Kristen Stewart,2360136464,26,90774479
95,Meryl Streep,2352686624,47,50057162
96,Jude Law,2341423493,31,75529790
97,Viggo Mortensen,2339074482,23,101698891
98,Nicole Kidman,2334487111,51,45774257
99,Kate Winslet,2326183453,26,89468594
100,Anthony Hopkins,2316803561,29,79889778
